	entry	grammar	definition	xr
8447	kilameti	causative present 3 singular	wearies, exhausts; torments, causes distress to	['kilamati', 'kilamayati']
8448	kilammati	present 3 singular	is or becomes tired, weary, exhausted; exhausts or distresses oneself; is in difficulty, is in distress (usually physical, sometimes mental); especially (+ instrumental) is weak because of a lack of something; experiences a difficulty with; suffers a lack of	kilamati
8449	kilāsa	masculine	a kind of leprosy	
8450	kilāsi	feminine	a kind of leprosy	
8451	kilāsika	adjective	afflicted with leprosy, leprous	kilāsiya
8452	kilāsiya	adjective	afflicted with leprosy, leprous	kilāsika
8453	kilāsu	adjective	disinclined (to), making no effort (to)	
8454	kilijjati	present 3 singular	is or becomes wet or damp; putrefies, festers	
8455	kilijjittha	aorist 3 singular		kilijjati
8456	kilinna	past participle adjective	damp, wet, moist; festering	kilijjati
8457	kilisati	present 3 singular	troubles, afflicts, molests; spoils	['kilissati', 'kilisnāti']
8458	kilisnāti	present 3 singular	troubles, afflicts, molests; spoils	['kilisati', 'kilissati']
8459	kilissati	present 3 singular	troubles, afflicts, molests; spoils	['klissati', 'kilisati', 'kilisnāti']
8460	kilissati	present 3 singular	is troubled, is afflicted; feels pain is or becomes dirty or stained; is morally stained	['klissati', 'kilisati', 'kilisnāti']
8461	kilissamāna	present participle adjective		kilissati
8462	kilesa	masculine (& neuter)	affliction; distress; especially that which afflicts, that which stains; an affliction, a defilement; a defiling passion, especially sexual desire, lust	klesa
8463	kileseti	causative present 3 singular	afflicts, harms, spoils; defiles	kilissati
8464	kilomaka	neuter	a bodily membrane, the pleura(?)	
8465	kisa	adjective	lean; thin, emaciated	
8466	kisaka	adjective	thin; emaciated	['kisika', 'kisiya']
8467	kisakovadāna	masculine	(according to commentary) instructor of the Kisakas or thin instructor	kisaka
8468	kisabalaka	adjective	of little strength; weak	kisa
8469	kisika	adjective	thin; emaciated	['kisaka', 'kisiya']
8470	kisiya	adjective	thin; emaciated	['kisaka', 'kisika']
8471	kisora	masculine	a colt; a young mule	
8472	kismiṁ viya	phrase	+ infeminine, it is shameful (to):	kiṁ
8473	kissa	interrogative	why?	kiṁ
8474	kīkita	adjective	seething; hot; blazing hot	['kikiṭa', 'kikita']
8475	kīṭa	masculine	a worm, an insect	
8476	kīṭaka	masculine	a worm, an insect	
8477	kīṇāti	present 3 singular	buys; purchases	['kiṇāti', 'kināti']
8478	kīta	past participle adjective	bought, purchased	['kināti', 'kiṇāti']
8479	kīdisa	adjective (f. ~ā & ~ī)	of what kind? like what?	
8480	kīrati	passive present 3 singular	is done	
8481	kīrisa	adjective	of what kind? like what?	
8482	kīrihiti	future 3 singular		kīrati
8483	kīḷati	present 3 singular	plays; amuses oneself; sports; celebrates (a festival or holiday)	kīḷati
8484	kīḷanaka	adjective & masculine neuter	(what is) for playing with; a plaything, a toy	
8485	kīḷanta	present participle adjective (f. ~antī) kīḷati		kīḷati
8486	kīḷādhippāya	adjective	intending sport, intending a jest	
8487	kīḷāpanaka	masculine, neuter	someone or something to be used to give amusement; a plaything; a playmate	kīḷāpanikā
8488	kīḷāpanikā	feminine	someone or something to be used to give amusement; a plaything; a playmate	kīḷāpanaka
8489	kīḷāpenta	present participle adjective	causing to play	kīḷati
8490	kipīlika	masculine ~ā, feminine	an ant	['kipillaka', 'kipillika', 'kipīlikā']
8491	kipīlikā	masculine ~ā, feminine	an ant	['kipillaka', 'kipillika', 'kipīlika']
8492	kīḷi	aorist 3 singular		kīḷati
8493	kīḷita	past participle adjective	(adjective) ((act.) having played, having sported	kīḷati
8494	kīḷita	past participle adjective	(neuter) play, sport, amusement	kīḷati
8495	kīḷitvā	absolutive		kīḷati
8496	kīvat	adjective	how great? how many? of what qualities?	
8497	kīva	indeclinable	how much? to what extent? how …? how …! (kiva can be interpreted as an adverb modifying an adjective or adverb, or as forming a compound with an adjective or adverb)	['kivaṁ', 'kiva(t)']
8498	kīvaṁ	indeclinable	how much? to what extent? how …? how …! (kiva can be interpreted as an adverb modifying an adjective or adverb, or as forming a compound with an adjective or adverb)	['kiva', 'kiva(t)']
8499	kīva ciraṁ	accusative adverb	how long? for how long a time? how long ago? in how long a time, how soon?	kīva
8500	kīva cirena	instrumental adverb	after how long a time?	kīva ciraṁ
8501	kīvadīgha	adjective	how long?	kīva
8502	kīvadūra	adjective	how far? how far away?	kīva
8503	kīvadūrato	adverb	how far? from what distance?	kīvadūra
8504	kīvadūre	adverb	how far? how far!	kīvadūra
8505	kīvabahuka	adjective	how many?	kīvadūra
8506	kīvatakaṁ	adverb	(from kīva(t)) how far? how great an extent?	
8507	kīvatika	adjective	(from kīva(t)) how many:	
8508	kukutthaka	masculine	a kind of bird, perhaps a wild cock	kakutthaka (?)
8509	kukku	masculine	a linear measure (about 45 cm)	kukkukata
8510	kukku	masculine	(adjective) according to commentary) (what is) temporary; given for a limited time	kukkukata
8511	kukkukata	adjective	according to commentary) (what is) temporary; given for a limited time	
8512	kukkucca	neuter	mental agitation (arising from anxiety that one has done or might do wrong, or might fail to do right); a feeling of guilt; remorse; worried (over-)scrupulousness	
8513	kukkuccaka	adjective (f. -ikā)	anxious about one’s behavior; (over-)scrupulous	
8514	kukkucaya	neuter	misbehavior, bad activity; anxiety, feeling scruples	kukkuciya
8515	kukkuccāyati	present 3 singular	is anxious, fears to do wrong; scruples; feels remorse	kukkuccāyati
8516	kukkuccāyanta	present participle adjective (f. ~antī) kukkuccāyati		kukkuccāyati
8517	kukkuccāyitabba	future passive participle adjective (neuter)	about which scruples should be felt	kukkuccāyati
8518	kukkuciya	neuter	misbehavior, bad activity; anxiety, feeling scruples	kukkucaya
8519	kukkuṭa	masculine	a rooster, a cock	
8520	kukkuṭaka	masculine	a cock	
8521	kukkuṭaka	masculine	(indeclinable onomatopoeic) a cock’s cry	
8522	kukkuṭacchāpaka	masculine	a chick	kukkuṭa
8523	kukkuṭapotaka	masculine	a chick	kukkuṭa
8524	kukkuṭayuddha	masculine	a cockfight	kukkuṭa
8525	kukkuṭasampāta	adjective	no more than a cock’s flight (from another village)	kukkuṭa
8526	kukkuṭasampātika	adjective	no more than a cock’s flight apart	kukkuṭa
8527	kukkuṭasampāda	adjective	no further (from another village) than a cock can walk	kukkuṭa
8528	kukkuṭī	feminine	a hen	
8529	kukkura	masculine	a young dog; a dog	
8530	kukkuravatika	adjective (masculine)	(one) who lives or behaves like a dog (a practice of certain ascetics)	['kukkuravattika', 'kukkura']
8531	kukkuravattika	adjective (masculine)	(one) who lives or behaves like a dog (a practice of certain ascetics)	['kukkuravatika', 'kukkura']
8532	kukkula	masculine, neuter	hot ashes, embers; burning chaff	kukkuḷa
8533	kukkula	masculine, neuter	(adjective) burning hot; like hot ashes	kukkuḷa
8534	kukkuḷa	masculine & adjective	hot ashes, embers; burning chaff	kukkula
8535	kukkuḷa	masculine & adjective	(adjective) burning hot; like hot ashes	kukkula
8536	kukkuḷaniraya	masculine	the kukkuḷa hell	kukkuḷa
8537	kukkusa	masculine (?)	rice-husk powder; bran	
8538	kucchi	masculine feminine	the belly	
8539	kucchi	masculine feminine	the womb	
8540	kucchiparihārika	adjective	serving (only) to sustain the belly	['kucchiparihāriya', 'kucchi']
8541	kucchiparihāriya	adjective	serving (only) to sustain the belly	['kucchiparihārika', 'kucchi']
8542	kucchimatī	m(f)n	pregnant	kucchi
8543	kucchivatī	m(f)n	pregnant	kucchi
8544	kucchisaya	adjective	being in the belly (one of the six internal winds)	kucchi
8545	kujjhat	present 3 singular		kujjhati
8546	kujjha	present 3 singular		kujjhati
8547	kujjhati	present 3 singular	is angry, becomes angry (with, usually genitive/dative; on account of, usually locative)	kujjhati
8548	kujjhi	2 sg		kujjhati
8549	kujjhittha	1 plural		kujjhati
8550	kuñjara	masculine	an elephant	
8551	kuñjarābhiruda	adjective	filled with the sound of elephants	kuñjara
8552	kuṭajakasāva	neuter	an astringent decoction from the kuṭaja tree	
8553	kuṭi	feminine	a hut, a cabin; a shelter	kuṭī
8554	kuṭikā	feminine	a shelter; a small hut	
8555	kuṭila	adjective	bent; crooked	
8556	kuṭī	feminine	a hut, a cabin; a shelter	kuṭi
8557	kuṭumba	neuter	a household; a family; family property	
8558	kuṭṭa	masculine, neuter	(another way of writing kuḍḍa) a wall	
8559	kuṭṭha	neuter	a kind of leprosy; a sore	
8560	kuṭṭhika	adjective	(from kuṭṭha) suffering from a skin disease; leprous	kuṭṭhiya
8561	kuṭṭhin	adjective	(one) suffering from a skin disease; leprosy	
8562	kuṭṭhi	adjective	(one) suffering from a skin disease; leprosy	
8563	kuṭṭhiya	adjective	(from kuṭṭha) suffering from a skin disease; leprous	kuṭṭhika
8564	kuṭhārī	feminine	an axe	
8565	kuṭhārīpāsa	masculine	a part of an axe (the ring (?) the blade)	kuṭhārī
8566	kuḍumalaka	adjective	covered with opening buds	
8567	kuḍḍa	masculine, neuter	(sometimes written as kuṭṭa) a wall	
8568	kuḍḍanagaraka	neuter	a little town	kuḍḍa
8569	kuḍḍamūla	neuter	the base of a wall	kuḍḍa
8570	kuḍḍarājan	neuter	a minor king; a subordinate king	
8571	kuḍḍarāja	neuter	a minor king; a subordinate king	
8572	kuṇapa	masculine, neuter & adjective	masculine, neuter) a corpse, a dead body; a dead thing; (adjective) putrid, smelling like a carcass	
8573	kuṇāla	masculine feminine	the name of one of the seven great lakes	
8574	kuṇi	adjective	having a crooked or withered arm; having a crooked or withered limb; crippled	
8575	kuṇḍa	neuter	bran	
8576	kuṇḍakamattika	neuter (?)	clay mixed with bran	
8577	kuṇḍala	neuter (& masculine)	an earring; a ring; a coil	
8578	kuṇḍalāvaṭṭa	adjective	curling a ring	['kuṇḍālavatta', 'kuṇḍala']
8579	kuṇḍalāvatta	adjective	curling a ring	['kuṇḍālavaṭṭa', 'kuṇḍala']
8580	kuṇḍalin	adjective	wearing earrings	
8581	kuṇḍali	adjective	wearing earrings	
8582	kutūhalamaṅgala	neuter	what is auspicious and portentous; special ceremonies and auspicious rites	kotūhalamaṅgala
8583	kutūsālā	feminine	a discussion hall	kotūsālā
8584	kuto	indeclinable	from where? whence? from which …?; especially how? how much less …, let alone …	
8585	kutoci	phrase	from anywhere; from somewhere; from some other	kuto
8586	kutta	past participle adjective	formed; arranged; dressed	kappati
8587	kuttaka	neuter (?)	a large woolen carpet or rug	
8588	kuthita	past participle adjective	hot, boiling, seething	kaṭhita
8589	kudassu	phrase	when indeed? whenever will …?	kudāssu
8590	kudācanaṁ	phrase	at any time; ever	
8591	kudāssu	phrase	when indeed? whenever will …?	kudassu
8592	kudiṭṭhin	adjective	(one) who holds wrong views	kuddiṭṭhi(n)
8593	kudiṭṭhi	adjective	(one) who holds wrong views	kuddiṭṭhi(n)
8594	kuddāla	masculine	a digging tool, a spade; a trowel	
8595	kuddālapiṭaka	neuter	a spade and a basket	kuddāla
8596	kuddiṭṭhin	adjective	(one) who holds wrong views	kuddiṭṭhi(n)
8597	kuddiṭṭhi	adjective	(one) who holds wrong views	kuddiṭṭhi(n)
8598	kuddha	past participle adjective	provoked, angered; angry	kujjhati
8599	kudrūsaka	masculine, neuter	one of the seven kinds of grain; an inferior kind of grain	
8600	kunthakipillaka	masculine	a kind of ant or termite; (or dvanda; ants and termites (?))	kunthakipillika
8601	kunthakipillika	masculine	a kind of ant or termite; (or dvanda; ants and termites (?))	kunthakipillaka
8602	kunnadī	feminine	a small river; a shallow stream	
8603	kupita	past participle adjective	(occasionally also written as kuppita) agitated, disturbed; in a state of unrest; provoked, angry; failed, invalid	kuppati
8604	kuppa	future passive participle adjective	(adjective) able to be disturbed; unstable; open to challenge or valid objection	kuppati
8605	kuppa	future passive participle adjective	(neuter) disturbance	kuppati
8606	kuppati	present 3 singular	is agitated (with emotion or anger); is disturbed; is in a state of unrest; is angry (with, accusative or genitive/dative)	
8607	kuppati	present 3 singular	is disturbed, falters; fails in effect, is invalid	
8608	kuppaniya	adjective	tending to make angry; (that) which disturbs	
8609	kuppi	aorist3 singular		kuppati
8610	kuppita	past participle adjective	agitated, disturbed; in a state of unrest; provoked, angry; failed, invalid	['kuppati', 'kupita']
8611	kubbati	present 3 singular	does, makes; acts; performs; acts for the advantage or injury of another; (especially absolutive) puts, places	['karoti', 'kurute', 'krubbati']
8612	kubbanaka	neuter	a small wood; a poor wood	
8613	kubbanā	present participle adjective		['kubbati', 'karoti']
8614	kubbamāna	present participle adjective		['kubbati', 'karoti']
8615	kubbaye	optative 3 singular		['kubbati', 'karoti']
8616	kubbara	masculine, neuter	the curved top or rail running round the front and two sides of a carriage or chariot; the frame to which the yoke is fixed	
8617	kubbetha	optative 3 singular		['kubbati', 'karoti']
8618	kumagga	masculine	a bad way; the wrong road; a dangerous road	kummagga
8619	kumāra	masculine	a child; a boy, a youth; a son; (pi) boys; children	
8620	kumāra	masculine	a prince; especially the heir apparent	
8621	kumāraka	masculine	a little boy; a boy, a youth	
8622	kumārakīlikā	feminine	the pleasures of a (young) prince; a child’s pastimes	kumāra
8623	kumārikā	feminine	a little girl; a girl; an unmarried girl; a virgin	kumāriyā
8624	kumāriyā	feminine	a little girl; a girl; an unmarried girl; a virgin	kumārikā
8625	kumāravāhana	neuter	a vehicle drawn by boys	kumāra
8626	kumārī	feminine	a girl; a daughter; an unmarried girl; a virgin	
8627	kumārīpañha	neuter (?)	questioning a girl (possessed by a deity)	kumārī
8628	kumārīpañha	neuter (?)	a question by a daughter (of Māra)	kumārī
8629	kumārīvāhana	neuter	a vehicle drawn by girls; a mount that is a girl	kumārī
8630	kumina	neuter	a funnel shaped wicker basket for catching fish	
8631	kuminamukha	neuter	the mouth or entrance of a fish trap	['kumināmukha', 'kumina']
8632	kumināmukha	neuter	the mouth or entrance of a fish trap	['kuminamukha', 'kumina']
8633	kumuda	neuter & adjective	(neuter) a waterlily, especially the night-blossoming white water-lily (Nymphaea alba or Nymphaea pubescens)	
8634	kumuda	neuter & adjective	the name of a hell or place in Avīci (where one suffers for a kumuda of years)	
8635	kumudaṇāla	masculine, neuter ~ī, feminine	the stalk of the kumuda	kumuda
8636	kumbha	masculine	a jar, pitcher; a water pot	
8637	kumbha	masculine	an urn (for the bones of the dead)	
8638	kumbhakāra	masculine	a potter	kumbha
8639	kumbhakāraka	masculine	a potter	kumbha
8640	kumbhakārakabhājana	neuter	a potter’s pot	kumbha
8641	kumbhakārapāka	masculine	a potter’s hearth or kiln	kumbha
8642	kumbhakārikā	feminine	the pot-work, the potter’s work	kumbha
8643	kumbhaṇḍa	m(fn)	who has testicles like or the size of a water-jar; the name of a kind of demon	
8644	kumbahaṇḍī	feminine	a female kumbhaṇḍa demon	
8645	kumbhaṭṭhānakthā	feminine	talk at the well or ford, gossip; scullery-maids’ or prostitutes’ gossip	kumbha
8646	kumbhatthenaka	adjective or masculine	stealing with (a light in) a pot; a kind of thief	kumbha
8647	kumbhathenaka	adjective or masculine	stealing with (a light in) a pot; a kind of thief	kumbha
8648	kumbhathūṇa	neuter	a kind of drum	['kumbhathūna', 'kumbha']
8649	kumbhathūṇika	neuter	the player of the kumbhathūṇa drum, a musician; a drummer	['kumbhathūnika', 'kumbha']
8650	kumbhathūna	neuter	a kind of drum	['kumbhathūṇa', 'kumbha']
8651	kumbhathūnika	neuter	the player of the kumbhathūṇa drum, a musician; a drummer	['kumbhathūṇika', 'kumbha']
8652	kumbhadāsika	feminine	the slave girl who fetc.hes water, a scullery-maid; a prostitute	['kumbha', 'kumbhadāsī']
8653	kumbhadāsī	feminine	the slave girl who fetc.hes water, a scullery-maid; a prostitute	['kumbha', 'kumbhadāsikā']
8654	kumbhadūhanā	adjective (feminine)	giving a pitcher full of milk	['kumbha', 'kumbhadohanā']
8655	kumbhadohanā	adjective (feminine)	giving a pitcher full of milk	['kumbha', 'kumbhaduhanā']
8656	kumbhi	feminine	a pot; a cooking vessel	kumbhī
8657	kumbhī	feminine	a pot; a cooking vessel	kumbhi
8658	kumbhīlabhaya	neuter	the fear or danger of crocodiles	
8659	kumma	masculine	a turtle; a tortoise	
8660	kummagga	masculine	a bad way; the wrong road; a dangerous road	kumagga
8661	kummāsa	masculine	a kind of grain (probably a type of barley or wheat); a porridge or dumpling made from this; a broth or gruel	
8662	kuramaṁsa	neuter	boiled rice and meat	
8663	kurutaṁ	present participle plural genitive		kurute
8664	kurute	present 3 singular	does, makes; acts; performs; acts for the advantage or injury of another; (especially absolutive) puts, places	['kubbati', 'karoti', 'kayirati']
8665	kurumāna	present participle adjective		['karoti', 'kurute']
8666	kururaṭṭharu	adjective	with badly inflamed wound (?)	
8667	kuruvindaka	masculine or neuter	a mineral, probably cinnabar	
8668	kuruvindakacuṇṇa	neuter	balls of kurivindaka powder mixed with lac (for rubbing the body while bathing	kuruvindaka
8669	kurūra	adjective	ferocious, harsh, without compassion; bloody, raw	
8670	kurūrakammanta	adjective	performing bloody or cruel deeds	kurūra
8671	kula	neuter	herd, assemblage; community, class, lineage; family, household; family residence; good family, a noble or eminent family	
8672	kulaṅgāra	masculine	“burning coal of the family”, one who ruins his family	kula
8673	kulaṅkapādaka	masculine or neuter	a timber footing or support or buttress	
8674	kulatthayūsa	masculine, neuter	soup of kulattha	
8675	kuladūsa	adjective	(one) who defiles families	kula
8676	kuladūsaka	adjective (f. -ikā)	who defiles the family; who corrupts a family	kula
8677	kulaparivaṭṭa	masculine	a family circle; a family generation	['kulaparivatta', 'kula']
8678	kulaparivatta	masculine	a family circle; a family generation	['kulaparivaṭṭa', 'kula']
8679	kulapaligedhin	adjective	greedy, selfish about families	kula
8680	kulapaligedhi	adjective	greedy, selfish about families	kula
8681	kulappasādaka	adjective	adding to a family’s faith	kula
8682	kulaputta	masculine	the son of a good or noble family; a noble youth (of whatever birth)	kula
8683	kulamaccharin	adjective	selfish in regard to (supportive) families	kula
8684	kulamacchari	adjective	selfish in regard to (supportive) families	kula
8685	kulamacchariya	neuter	selfishness, meanness in regard to (supportive) families	['kulamacchera', 'kula']
8686	kulamacchera	neuter	selfishness, meanness in regard to (supportive) families	['kulamacchariya', 'kula']
8687	kulala	masculine	a carrion-eating bird (a kind of vulture? a raven?)	
8688	kulava	masculine or neuter	a receptacle; a shelter or store (?)	kulāva
8689	kulavaṁsa	neuter	the family line; the family succession; the family tradition	kula
8690	kulāva	masculine or neuter	a receptacle; a shelter or store (?)	kulava
8691	kulāvaka	masculine, neuter	a nest; (also, according to commentary, a nestling, a young bird)	
8692	kulitthī	feminine	a woman of the family, mistress of the household; a woman of good family	kula
8693	kulīraka	masculine	a kind of bird	kuḷīraka
8694	kulīrapādaka	adjective	with carved feet	kuḷīrapādaka
8695	kulupaka	masculine	(being) a family associate; (one) dependent on, intimate with, a household or several households	['kulūpaka and kulūpikā', 'kula']
8696	kulupaghātaṁ	indeclinable	harming families; harming households	['kulūpaghātaṁ', 'kula']
8697	kulūpaka	masculine	(being) a family associate; (one) dependent on, intimate with, a household or several households	['kulupaka and kulūpikā', 'kula']
8698	kulūpaghātaṁ	indeclinable	harming families; harming households	['kulupaghātaṁ', 'kula']
8699	kulūpika	feminine	(being) a family associate; (one) dependent on, intimate with, a household or several households	['kulupaka and kulūpakā', 'kula']
8700	kuḷīraka	masculine	a kind of bird	kulīraka
8701	kuḷīrapādaka	adjective	with carved feet	kulīrapādaka
8702	kulla	masculine	a raft; a roughly-made float	
8703	kullaka	masculine or adjective	a man of nobility (?); shallow (?)	
8704	kullakavihāra	masculine	the state (of meditation) of a man of nobility; a shallow state (of meditation)	kullaka
8705	kuvaṁ	indeclinable	where?	
8706	kusa	masculine	a kind of grass (with long pointed stalks, used at brahmanical religious ceremonies)	
8707	kusa	masculine	a piece of wood (or grass!) used as an identifying mark	
8708	kusagga	neuter	the point of a blade of a kusa grass	kusa
8709	kusacīra	neuter	garment made of kusa grass	kusa
8710	kusapāta	masculine	the casting or dropping of markers (on shares of material to be distributed)	['kusa', 'kusāpāta']
8711	kusala	adjective & neuter	(adjective) good; right, proper; meritorious; conducing to well-being; good, acting rightly	
8712	kusala	adjective & neuter	(neuter) what is good; what leads to well-being; right or proper action or behavior; virtue	
8713	kusala	adjective & neuter	(adjective) good at; competent, clever; skillful, skilled, expert; knowledgeable (about), conversant (with, genitive or locative)	
8714	kusala	adjective & neuter	(neuter) welfare; well being	
8715	kusalapakkha	adjective (masculine)	belonging to the group of good qualities	kusala
8716	kusalapakkhika	adjective	a practice belonging to the group of good qualities	kusala
8717	kusalabhāgiya	adjective	associated with the good	kusala
8718	kusalā dhammā	masculine	right practices or actions; good conduct; virtues; factors conducing to well-being	kusala
8719	kusalānuesin	adjective	searching for what is good or right	kusala
8720	kusalānuesi	adjective	searching for what is good or right	kusala
8721	kusalābhisanda	masculine	outflow of good; issue of good	kusala
8722	kusalāyatika	adjective	connected to what is good	kusala
8723	kusalupasaṁhita	adjective	(according to commentary) coming from what is good, resulting from what is good; or perhaps: producing good in the future	kusala
8724	kusāpāta	masculine	the casting or dropping of markers (on shares of material to be distributed)	['kusapāta', 'kusa']
8725	kusāvahāra	masculine	theft by exchanging kusa markers	kusa
8726	kusalin	adjective	full of well-being; possessing merit; virtuous	
8727	kusalin	adjective	benevolent; wishing well; expressing approval	
8728	kusali	adjective	full of well-being; possessing merit; virtuous	
8729	kusali	adjective	benevolent; wishing well; expressing approval	
8730	kusi	feminine	a piece of cloth (part of a bhikkhu’s robe)	
8731	kusīta	adjective	lazy, slothful; not conscientious	
8732	kusubbha	masculine	a small pool; a stream in a small channel or running through a small pool	['kusobbha', 'kussubbha', 'kussobbha']
8733	kusuma	neuter	a flower; blossom	
8734	kusumaraja	neuter	the pollen of flowers	kusuma
8735	kusumitasikhara	adjective	with blossoming crests	
8736	kusobbha	masculine	a small pool; a stream in a small channel or running through a small pool	['kusubbha', 'kussubbha', 'kussobbha']
8737	kussubbha	masculine	a small pool; a stream in a small channel or running through a small pool	['kusobbha', 'kusobbha', 'kussubbha', 'kussobha']
8738	kussobbha	masculine	a small pool; a stream in a small channel or running through a small pool	['kusobbha', 'kusubbha', 'kussubha']
8739	kuha	adjective	deceitful; fraudulent	
8740	kuhaka	adjective & masculine	deceitful; fraudulent (especially performing insincere religious austerities, or falsely claiming virtues for gain); hypocritical; a fraud; an impostor	
8741	kuhanā	feminine	deception, fraud; hypocritical behavior (designed to elicit gifts from laypeople)	
8742	kuhiṁ	indeclinable	where? where to? (equivalent to locative of ka) in which…? in reference to what?	
8743	kuhiñcanaṁ	phrase	anywhere, somewhere; in or on something; in regard to anything	kuhiṁ
8744	kuhiñci	phrase	anywhere, somewhere; in or on something; in regard to anything	kuhiṁ
8745	kūṭa	masculine, neuter	(masculine, neuter) a prominence or projection; a horn; a summit, a peak	
8746	kūṭa	masculine, neuter	(neuter) the peak of a roof, the roof-plate or roof ridge into which the ends of the rafters are inserted	
8747	kūṭa	masculine, neuter	a trap, a snare; fraud, deception, cheating	
8748	kūṭa	masculine, neuter	(adjective) false, fraudulent; lying; wild, vicious	
8749	kūṭaṭṭha	adjective	immovable, unchangeable as a (mountain) peak	kūṭa
8750	kūṭāsakkhi	masculine	a false witness	kūṭa
8751	kūṭasimbalī	feminine	a kind of cotton plant; a kind of silk-cotton tree	
8752	kūṭāgāra	masculine, neuter	a building with a peaked roof; an upper room, a belvedere	kūṭa
8753	kūṭeyya	neuter	trickery; trick; trickiness	
8754	kūpa	masculine	a hollow pit; a well	
8755	kūla	neuter	a shore, a bank; edge (of a well)	
8756	kūlapalugga	adjective (neuter)	the broken-up (clay) of the riverbank	kūla
8757	keṭubhin	adjective	cheating, fraudulent, deceiving	
8758	keṭubhi	adjective	cheating, fraudulent, deceiving	
8759	ketu	masculine	pride, arrogance	
8760	ketu	masculine	wisdom; discernment	
8761	ketuṁ	infinitive		kiṇāti
8762	kena upāyena	phrase	in which way? how?	upāya
8763	kenāmā	masculine plural	of what name? called what?	['kānāmā', 'kiṁnāma', 'kinnāma', 'kenāmā']
8764	keyūra	neuter	a bracelet (worn on the upper arm)	
8765	kelāyati	present 3 singular	cares for, cherishes; treasures; is possessive of	keḷāyati
8766	keḷāyati	present 3 singular	cares for, cherishes; treasures; is possessive of	kelāyati
8767	kevaṭṭa	masculine	a fisherman	
8768	kevala	adjective	not connected with anything else, mere, alone; pure, uncompounded, unmingled; entire, whole, all	
8769	kevalaṁ	accusative adverb	only, merely; just; entirely, wholly	kevala
8770	kevalakappa	adjective	almost all, practically the whole (of); all; entire	kevala
8771	kevalakappaṁ	accusative adverb	entirely, wholly; decidedly	kevalakappaṁ
8772	kevalaparipuṇṇa	adjective	whole and complete	kevala
8773	kevalaparipūra	adjective	whole and complete	kevala
8774	kevalin	adjective (masculine)	(from kevala) who is fully accomplished, perfected; who has achieved completeness	
8775	kevali	adjective (masculine)	(from kevala) who is fully accomplished, perfected; who has achieved completeness	
8776	kesa	masculine	the hair of the head	
8777	kesakambala	masculine	a blanket made of hair; a cloth made out of hair	kesa
8778	kesamassu	neuter	(plural nom, ~ū, ~ūni) the hair and beard	kesa
8779	kesamassulocaka	adjective (masculine)	(one) who pulls out the hairs of the head and of the beard	kesamassu
8780	kesamassulocana	adjective (masculine)	pulling out the hairs of the head and of the beard	kesamassu
8781	kesari	adjective	having a mane, a lion	kesari(n)
8782	kesarin	adjective	having a mane, a lion	kesari
8783	kesin	adjective	having fine or long hair	
8784	kesi	adjective	having fine or long hair	
8785	ko	indeclinable	where? in what?	kiṁ
8786	ko ca	phrase	(when repeated) how great a difference there is between A and B!; how far is A from B !; what is the difference between A and B?	ko
8787	ko ca	phrase	in the same construction, with two nouns, ko is taken as from ka and made to agree with its noun	ko
8788	ko ca	phrase	ko ca (noun) … ko (verb) (an extension of (i)and (ii), where the verb substitutes for a noun, influenced by the sense o/ka as: who am I to, who is competent to…?); how far is one from being able to…; how unworthy is one to…; how different is A from him who … 	ko
8789	ko ci	phrase	somewhere; anywhere; in some place	ko
8790	kokanada	neuter	the (flower of the) red lotus	
8791	kokavighāsa	masculine	a wolf’s leavings, the remnants of a wolfs meal	
8792	kokāsakajāta	adjective	(with opened flowers) like the red lotus	
8793	kokila	masculine ~ā, feminine	the Indian cuckoo	
8794	kocid eva	phrase	etc., someone or other; some or other	eva
8795	koccha	masculine, neuter	(neuter) a type of seat, usually made with a bundle of grass etc.	
8796	koccha	masculine, neuter	(neuter) a brush; a comb	
8797	koccha	masculine, neuter	(masculine) a part of the hands and feet; the ball of the hand or foot	
8798	kojava	masculine, neuter	a woolen rug or cover	
8799	koñca	masculine (or neuter)	a trumpeting noise	
8800	koñca	masculine (or neuter)	(masculine) a land of bird, prob, a heron or crane; (possibly a curlew)	
8801	koṭayati	present 3 singular	cuts, chops; grinds, pounds; beats, strikes; paws (the ground); hammers (in)	['koṭeti', 'koṭṭayati', 'koṭṭeti']
8802	koṭarohita	adjective	placed in the hollow of a tree	
8803	koṭāpeti	causative present 3 singular		koṭeti
8804	koṭāpetvā	absolutive		koṭeti
8805	koṭi	feminine	the curved end (of a bow); the end or top of anything; the edge or point; the highest point; a point or side in an argument, an alternative	
8806	koṭeti	present 3 singular	cuts, chops; grinds, pounds; beats, strikes; paws (the ground); hammers (in)	['koṭayati', 'koṭṭeti', 'koṭṭayati']
8807	koṭetvā	absolutive		['koṭṭeti', 'koṭeti']
8808	koṭṭayati	present 3 singular	cuts, chops; grinds, pounds; beats, strikes; paws (the ground); hammers (in)	['koṭeti', 'koṭayati', 'koṭṭeti']
8809	koṭṭāpetabba	future passive participle adjective		koṭṭeti
8810	koṭṭāpeti	causative present 3 singular		koṭṭeti
8811	koṭṭāpetva	absolutive		koṭṭeti
8812	koṭṭeti	present 3 singular	cuts, chops; grinds, pounds; beats, strikes; paws (the ground); hammers (in)	['koṭeti', 'koṭayati', 'koṭṭayati']
8813	koṭṭetvā	absolutive		koṭṭeti
8814	koṭṭesi	aorist 3 singular		koṭṭeti
