pali	grammar	meaning	from
khattiyābhiseka	masculine	inauguration as king	khattiya
khattiyī	feminine	a woman of the warrior or ruling class; a princess	
khanati	present 3 singular	hurts, injures; impairs	khaṇati
khanati	present 3 singular	digs; digs up; excavates	khaṇati
khanāpeti	causative present 3 singular	causes to dig; makes excavate	['khaṇāpeti', 'khanati']
khanita	past participle adjective	dug; excavated	khanati
khanittī	feminine	(from khaṇati) an instrument for digging; a spade; a trowel	kaṇittī
khantar	masculine	one who bears patiently, who endures; who forgives	khamati
khanta	masculine	one who bears patiently, who endures; who forgives	khamati
khanti	feminine	patience; forbearance; endurance	
khanti	feminine	receptivity; predilection; preference; preferred view; (also khantī)	
khantī	feminine	patience; forbearance; endurance	khanti
khantī	feminine	receptivity; predilection; preference; preferred view	khanti
khandha	masculine	the shoulder, the upper part of the back (in men and animals)	
khandha	masculine	the stem or trunk of a tree	
khandha	masculine	the agglomeration or groups of good practices or virtues	
khandha	masculine	the five collections or groups which are the elements of (personal) existence	
khandhaka	masculine	a chapter, a section; one of the 22 sections of the Mahāvagga and Cullavagga of the Vinayapiṭaka	
khandhaka	masculine	the section of the Vinayapiṭaka consisting of the Mahāvagga and Cullavagga	
khandhakavatta	neuter	one of the 14 rules of conduct prescribed in the Vattakkhandhaka (Kd 18)	khandhaka
khandhakavatta	neuter	one of 82 subsidiary rules of conduct prescribed in the Khandhaka section of the Vinayapiṭaka; 71 rules from Pārivāsikakkhandhaka (Kd 12) and eleven from Kammakkhandhaka (Kd 11)	khandhaka
khandhaja	adjective (masculine)	what grows from the stem, a shoot, a sprout	khandha
khandhabīja	neuter	(what has its) origin or sources in a trunk or stem	khandha
khandhādhivacana	neuter	designation as khandhas	khandha
khandhādhisa	adjective	like the elements of existence	khandha
khama	adjective	patient, enduring; able to put up with; forbearing; amenable to; adequate, fit for; appropriate, proper for	khamati
khamati	present 3 singular        (after ‘na’ very commonly written kkhamati);	bears patiently, puts up with; submits to; is capable of bearing, stands up to	
khamati	present 3 singular        (after ‘na’ very commonly written kkhamati);	pardons, forgives someone (genitive/dative) for something (accusative); bears with, indulges	
khamati	present 3 singular        (after ‘na’ very commonly written kkhamati);	seems good (to, genitive/dat); is agreeable (to); seems preferable	
khamati	present 3 singular        (after ‘na’ very commonly written kkhamati);	is sufficient for, proper for	
khamanīya	future passive participle adjective & neuter	bearable; endurable; it is bearable	khamati
khamāpayati	causative present 3 singular	asks pardon (for); asks forgiveness	['khamāpeti', 'khamati']
khamāpita	past participle adjective	asked for forgiveness; persuaded to pardon	['khamati', 'khamāpeti']
khamāpeti	causative present 3 singular	asks pardon (for); asks forgiveness	['khamāpayati', 'khamati']
khamitabba	future passive participle adjective & neuter impersonal	to be endured; to be forgiven; one should pardon	khamati
khambha	masculine	a prop, a support	
khambha	masculine	stiffness; paralysis	
khambhakata	adjective	who has made a support (of his arm); with arm(s) akimbo	khambha
khambhanā	feminine	propping; making stiff; paralyzing; (or obstructing, hindering (?))	
khambhayati	causative present 3 singular	props, supports; paralyzes, makes stiff (with fear); obstructs, hinders	khambheti
khambheti	causative present 3 singular	props, supports; paralyzes, makes stiff (with fear); obstructs, hinders	khambhayati
khaya	masculine	wasting or wearing away, diminution; using up, exhaustion; ending; destruction	
khayātita	adjective	(of the moon) gone beyond waning, new	khaya
khayānupassī	adjective	considering decay, ending, destruction	khaya
khayānupassi	adjective	considering decay, ending, destruction	khaya
khayita	past participle adjective	perished; decayed	
khayogadha	adjective	plunged into annihilation; immersed in ending; or with firm footing in ending	khaya
khara	adjective	harsh, rough; hard, solid; sharp, keen; fierce	
kharagata	adjective	hard; solid	['kharigata', 'khara']
kharassara	adjective	harsh toned; making a harsh sound	khara
kharājina	neuter	a rough animal skin	khara
kharigata	adjective	hard; solid	['kharagata', 'khara']
khalikhā	feminine	(gaming on) a dicing circle, a dicing board	khalati
khalita	past participle adjective & neuter	(adjective) (act.) stumbling; going wrong; stammering, faltering; who has erred, gone wrong	khalati
khalita	past participle adjective & neuter	(neuter) blunder, error; stumbling; stammering	khalati
khalita	past participle adjective & neuter	(adjective) with thinning hair, balding	khalati
khalitaṃsiras	adjective	with a balding or bald head	['khalitasira(s)', 'khalita']
khalitaṃsira	adjective	with a balding or bald head	['khalitasira(s)', 'khalita']
khalitasiras	adjective	with a balding or bald head	['khalitaṁsira(s)', 'khalita']
khalitasira	adjective	with a balding or bald head	['khalitaṁsira(s)', 'khalita']
khalitvā	absolutive	having stumbled, tripped; stammered, faltered; blundered; erred	
khalu	indeclinable	(a particle of emphasis, stressing the preceding word; signifying a report, something heard; sometimes merely expletive; occasionally expressing prohibition:) indeed, truly; so they say, as I have heard	
khaluṅka	masculine	a kind of inferior horse (not a thoroughbred); a colt; an unruly, unmanageable horse or person	khaḷuṅka
khaluṅkajjhāyita	neuter	the thoughts, preoccupations of a second-rate horse	khaḷuṅka
khalupacchābhattika	adjective (masculine)	one who refuses further food	khalu
khalupacchābhattī	adjective (masculine)	one who prefers further food	khalu
khalupacchābhatti	adjective (masculine)	one who prefers further food	khalu
khallaka	masculine (or neuter)	(probably) leather	
khaḷuṅka	masculine	a kind of inferior horse (not a thoroughbred); a colt; an unruly, unmanageable horse or person	khaluṅka
khaḷopi	feminine	a container; a pot; a basket	kaḷopi
khāṇu	masculine, neuter	(occasionally written as khānu) a stump (of a tree); a trunk	
khāta	past participle adjective	eaten	['khaṇati', 'khādati']
khādati	present 3 singular	chews; eats; devours, preys upon; bites, hurts; grinds, makes chatter (teeth)	
khādati	present 3 singular	consumes (goods or money); preys upon, plunders	
khādana	neuter	chewing, eating; food	
khādanīya	future passive participle adjective (neuter)	(something) to be eaten; solid food	khādati
khādayati	causative present 3 singular	cause to eat; feeds; causes to be eaten	['khādāpeti', 'khādati']
khādāpeti	causative present 3 singular	cause to eat; feeds; causes to be eaten	['khādayati', 'khādati']
khādita	past participle adjective	eaten, chewed; consumed	khādati
khāditabba	future passive participle adjective	to be eaten; to be consumed; to be chewed	khādati
khānu	masculine, neuter	a stump (of a tree); a trunk	khāṇu
khāyati	passive present 3 singular	is seen, appears, seems	khāyati
khāyita	past participle adjective & neuter	(adjective) eaten; devoured	khādati
khāyita	past participle adjective & neuter	(neuter) eating; chewing	khādati
khāra	masculine & adjective	(masculine) an alkali; a caustic substance (such as soda or potash)	
khāra	masculine & adjective	(adjective) consisting of caustic fluid; especially as epithet of a river in a hell	
khārāpatacchika	neuter (& ~ā feminine?)	a form of torture (involving inflicting wounds which are then treated with a caustic fluid	khāra
khārika	adjective	acrid; pungent	khāriya
khārikāja	masculine	a carrying-pole with the khāri container	
khāribhāra	masculine	the burden of the khāri container, the khāri load	
khāriya	adjective	acrid; pungent	khārika
khārividha	masculine	a carrying-pole with the khāri container	['khārivivadha', 'khārivividha']
khārivivadha	masculine	a carrying-pole with the khāri container	['khārividha', 'khārivividha']
khārivividha	masculine	a carrying-pole with the khāri container	['khārividha', 'khārivivadha']
khiḍḍā	feminine	sport, play; amusement	
khiḍḍāpadūsika	adjective (masculine)	spoilt, corrupted by sport and amusement	['khiḍḍāpadosika', 'khiḍḍā']
khiḍḍāpadosika	adjective (masculine)	spoilt, corrupted by sport and amusement	['khiḍḍāpadūsika', 'khiḍḍā']
khitta	past participle adjective	thrown; tossed; thrown away; tossed about; disordered, deranged; dismissed; sent away	khipati
khitta	past participle adjective	reviled; criticized	khipati
khittacitta	adjective	distracted in mind; with deranged mind	khitta
khipa	neuter	a basket for catching fish, a trap	khippa
khipati	present 3 singular	throws, casts; lets go; propels; throws away; tosses, throws about	
khipati	present 3 singular	strikes, hits; strikes down, beats; deranges; abuses; criticizes	
khipati	present 3 singular	sneezes	
khipita	past participle adjective	a sneeze; sneezing	khipati
khipitasadda	masculine	the sound of sneezing	khipita
khippa	neuter	a basket for catching fish, a trap	khipa
khippa	neuter	(adjective) quick; swift	khipa
khippaṃ	accusative adverb	quickly; swiftly; immediately, directly	khippa
khippatara	adjective	quicker; swifter	khippa
khippataraṃ	adverb	more quickly; most quickly	khippatara
khippanisanti	adjective	of quick observation; of swift comprehension	['khippanisanti(n)', 'khippa']
khippanisantī	adjective	of quick observation; of swift comprehension	['khippanisanti', 'khippa']
khippābhiña	adjective	of swift understanding; characterized by quick intuition	khippa
khiyyati	passive present 3 singular	is exhausted, used up; is diminished, decreases; wastes away; perishes, comes to an end	khīyati
khiyyati	passive present 3 singular	expresses anger, complains; criticizes publicly, denounces	khīyati
khiyyanaka	adjective & neuter	(adjective) consisting in complaining, criticizing publicly	khīyanaka
khiyyanaka	adjective & neuter	(neuter) a complaint; a public criticism	khīyanaka
khila	masculine, neuter (& adjective?)	(as a fault of one’s thinking) barrenness, sterility; stiffness, rigidity; hostility, resistance	
khilajāta	adjective	barren; rigid; hostile	khila
khīṇa	past participle adjective	diminished, worn away, used up; perished, destroyed, come to an end	khīyati
khīṇaṃ	adv	hurtfully, roughly	khīyati
khīṇakulīna	adjective	(also khīṇakolañña) of a ruined family; or of a family whose members are dead	['khīyati', 'khīṇa']
khīṇakolañña	adjective	(also khīṇakulīna) belonging to a family whose members are dead; without kin	['khīyati', 'khīṇa']
khīṇabīja	adjective	in whom the seeds (of existence, rebirth) have perished	khīṇa
khīṇavyappatha	adjective	of rough or hurtful speech; criticizing	khīyati
khīṇāsava	adjective	(one) in whom the āsavas have perished; free from the āsavas, i.e. an arahant	khīṇa
khīya	masculine	complaining about; criticizing publicly, denouncing	
khīyati	passive present 3 singular	is exhausted, used up; is diminished, decreases; wastes away; perishes, comes to an end	khiyyati
khīyati	passive present 3 singular	expresses anger, complains; criticizes publicly, denounces	khiyyati
khīyadhamma	masculine	the practice of complaining publicly, the action of public criticism, denunciation	khīya
khīyanadhamma	masculine	he practice of complaining publicly, the action of public criticism, denunciation	
khīyanaka	adjective & neuter	(adjective) consisting in complaining, criticizing publicly	khiyyanaka
khīyanaka	adjective & neuter	(neuter) a complaint; a public criticism	khiyyanaka
khīyita	past participle adjective (neuter)	a complaint (is made)	khīyati
khīra	neuter	milk, especially cow’s milk	
khīranika	masculine feminine	(from khīra) one who milks	
khīrapaka	adjective (masculine/feminine)	drinking (only) milk; not weaned	khīra
khīrapaṇṇī	masculine	a kind of plant (whose leaves yield a milky juice)	khīra
khīrapaṇṇi	masculine	a kind of plant (whose leaves yield a milky juice)	khīra
khīramatta	adjective (masculine/feminine)	(one) made satisfied, drugged with milk, a baby	khīra
khīrarukkha	masculine	a tree with milky sap or fluid	khīra
khīrūpaka	adjective	going to milk, dependent on milk	khīra
khīrodakībhūta	adjective	(perfectly mixed or compatible) like milk and water	khīra
khīla	masculine	a peg; a spike, a stake; a tethering peg; a post	
khīlaka	masculine	a peg; a post	
khīlaṭṭhāyiṭhita	adjective	standing as immovable post	khīla
khu	indeclinable	indeed; certainly	
khuṃsana	neuter ~ā, feminine	abuse; insulting; verbal attack	
khuṃsayati	present 3 singular	abuses, insults; attacks verbally	khuṁseti
khuṃseti	present 3 singular	abuses, insults; attacks verbally	khuṁsayati
khujja	adjective m & ~ā, feminine	humpbacked; crooked; a hunchback	
khujjaka	adjective	humpbacked; crooked	
khudā	feminine	hunger	
khudda	adjective	small, minute; trifling; poor, weak; mean, low	
khudda	adjective	(neuter (& adjective?)) honey	
khuddaka	adjective (f. ~ā & -ikā)& neuter	(adjective) small; minor; insignificant; inferior; short	
khuddaka	adjective (f. ~ā & -ikā)& neuter	(nominative plural ~ā and ~āni), a minor rule or offense (i.e. a pācittiya rule)	
khuddakanagaraka	neuter	a small insignificant town	khuddaka
khuddakavatthuka	neuter	the section on minor matters, the Khuddakavatthukkhandhaka of the Vinayapiṭaka	khuddaka
khuddamadhu	neuter	honey; (honey from khuddā bees?)	khudda
khuddarājan	masculine	a minor or subordinate king	khudda
khuddarāja	masculine	a minor or subordinate king	khudda
khuddānukhuddaka	adjective & neuter	(adjective) lesser, minor; the least important; the very smallest; the various small or minor …; (neuter) a minor disciplinary rule; the basic or minor discipline	khudda
khura	masculine	a razor, a sharp blade	
khurakāsa	masculine	dragging the hoof, furrowing with the hoof (a trick of horses)	
khuradhāra	adjective	razor-edged, sharp as a razor; containing razors	khura
khurapariyanta	adjective	edged with razors; with a razor-edged rim	khura
khurappa	masculine	a sharp edged arrow	khura
khurabhaṇḍa	neuter	a barber’s instruments	khura
khuramuṇḍa	neuter	having the head shaved; sheared	khura
khurasipāṭikā	feminine	a razor case	khura
khurasilā	feminine	a whetstone	khura
khulukhulukārakaṃ	indeclinable	making the noise “khulukhulu)”; so as to make a rattling noise	
khetta	neuter	arable land; a cultivated field	
khetta	neuter	delimited area (of space or time); field of activity, sphere of action	
khetta	neuter	fertile soil, a suitable place (for something to arise or be produced); especially a suitable object or recipient, a field for producing puñña	
khettajina	m(fn.)	(one) who is knowledgeable; skillful	khetta
khettaññu	adjective	knowledgeable (about, genitive); experienced; clever, skillful; see khetta)	
khettapāla	masculine	one who guards a field, a watchman	khetta
khepita	past participle adjective	passed; spent	khipati
khepetvā	absolutive	having used up, diminished; destroyed; made an end of	khipati
khepetvā	absolutive	having (passed) time; spent; passed through (space)	khipati
khema	adjective & neuter	(adjective) safe, secure; free from danger; affording security; at ease	
khema	adjective & neuter	(masculine, neuter) safety, security; a secure or easy state; peace; well-being	
khematā	feminine abstr	security, safety; well being; peace	khema
khematta	adjective (masculine)	one who is secure, at peace	khema
khematta	adjective (masculine)	security, safety; well being; peace	khema
khemadassī	adjective	seeing security; seeing peace	khema
khemadassi	adjective	seeing security; seeing peace	khema
khemantabhūmi	feminine	a place of safety; a peaceful, secure region	khema
khemī	adjective	safe, secure; enjoying peace and security	
khemi	adjective	safe, secure; enjoying peace and security	
kheḷa	masculine	saliva, spittle	
kheḷamallaka	masculinea	a spittoon	kheḷa
kheḷāsaka	adjective (masculine)	one who eats spittle; one who eats or uses what ought to be rejected	['kheḷāsika', 'kheḷa']
kheḷāsika	adjective (masculine)	one who eats spittle; one who eats or uses what ought to be rejected	['kheḷāsaka', 'kheḷa']
kho	ind. (sometimes written khv before a following initial vowel, which is usually lengthened)	an enclitic particle (extremely common, especially in the prose of Vin, DN, MN, SN, and AN) which, emphasizes the preceding word(s), but is often merely expletive	
kho	ind. (sometimes written khv before a following initial vowel, which is usually lengthened)	frequently marks a change of subject or a further stage in a narrative, especially following atha	
khobhayati	causative present 3 singular	shakes; agitates, disturbs	khobheti
khobheti	causative present 3 singular	shakes; agitates, disturbs	khobhayati
khoma	neuter a adjectivea	(adjective) linen, made of linen	
khoma	neuter a adjectivea	(neuter) flax	
khomasukhuma	neuter & adjective	very fine linen; made of very fine linen	khoma
gagana	neuter	the sky	
gagghati	3 singular	will go (of future of gacchati?)	
gaccha	masculine	a small tree; a bush	
gacchati	present 3 singular	of people, animals, rivers, roads etc.) goes; moves, walks; goes away, leaves; goes to (+ accusative or santike/santikaṁ etc.); often with absolutive, eg. ādāya ~ati, gahetvā ~ati, goes with, takes; pahāya ~ati, goes off without, leaves behind	
gacchati	present 3 singular	goes to another existence, another birth etc.	
gacchati	present 3 singular	follows a course; follows a future course	
gacchati	present 3 singular	goes to an activity; goes to do something	
gacchati	present 3 singular	goes to in a sexual intercourse; has intercourse with	
gacchati	present 3 singular	goes to a state of condition; undergoes, reaches; obtains	
gacchati	present 3 singular	relies on	
gacchati	present 3 singular	Note: the first person present is sometimes used to express an immediate or near future sense: I am going; I am going to go; we are about to go	
gacchamāna	present participle adjective	going; moving; walking	
gaja	masculine	an elephant	
gajjati	present 3 singular	emits a deep sound; roars; thunders; asserts strongly, shouts; blusters	
gajjayitvā	absolutive	without causative sense?	gajjita
gajjita	past participle neuter & masculine?	roaring; thundering; strong assertion	gajjati
gajjitar	 masculine	one who roars or thunders; one makes strong assertions	gajjati
gaṇa	masculine	a multitude of numbers, a group; a tribe	
gaṇa	masculine	a group within a saṅgha	
gaṇamaggena	indeclinable	by groups	
gaṇārāma	adjective	finding pleasure in a company	
gaṇangaṇūpāhanā	feminine	sandal(s) with soles of many layers	
gaṇaka	masculine	one who counts; recons; calculates; an accountant; a treasurer	
gaṇakamahāmatta	masculine	a minister of finance; an accountant	
gaṇaki	feminine	the wife of an accountant (or astrologer?)	
gaṇanā	feminine	reckoning; counting; calculation; computation; numbering	
gaṇapūra	adjective	(one) who makes up the number	
gaṇapūraka	adjective	one who completes the quorum	
gaṇabandhandhika	neuter	(connected with) joining together a group; acquiring a following	
ganabhandiya	neuter	(connected with) joining together a group; acquiring a following	
gaṇabhojana	neuter	receiving and eating food in a group	
gaṇavassika	adjective	used for several years	
gaṇita	past participle adjective	counted; numbered; reckoned; taken into account	
gaṇī	m(fn.)	one who has a company of followers or pupils; a teacher; a leader	
gaṇikā	feminine	a courtesan, a prostitute	
gaṇibhuta	adjective	gathered in groups; large companies	
gaṇayanta	present participle adjective	counts numbers; adds up; reckons; calculates	
gaṇetuṃ	infinitive	counts numbers; adds up; reckons; calculates	
gaṇetvā	absolutive	having counted numbers; added up; reckoned; calculated	
gaṇetabba	future passive participle adjective	counts numbers; adds up; reckons; calculates	
gaṇesi	aorist 3 singular	counted numbers; added up; reckoned; calculated	
gaṇṭhi	masculine/feminine	a knot; a tangle; a bunch; a knot tied in a garment (for keeping money)	
gaṇṭhikā	feminine	a button; a toggle	
gaṇthikāphalaka	neuter	a backing piece (of wood?) for the toggle?	
gaṇḍa	masculine	a swelling; a lump; a boil; boils	
gaṇdamattikā	neuter	worm casts?	
gaṇḍikā	adjective	suffering form boils	
gaṇḍīkādhāna	neuter	the placing of a cornice (?)	
gaṇḍuppāda	masculine	a worm; an earthworm	
gaṇhāti	present 3. sg	takes, takes hold of, grasps; gets, obtains; receives, accepts	
gaṇhāti	present 3. sg	catches, seizes, overpowers	
gaṇhāti	present 3. sg	holds; contains	
gaṇhāti	present 3. sg	takes, chooses; takes on, approves; holds an opinion or belief; holds to	
gaṇhāti	present 3. sg	receives into the mind, apprehends, learns; accepts (instructions or criticism)	
gaṇhāti	present 3. sg	takes a road	
gata	past participle adjective & neuter	gone; gone to; who has gone	gacchati
gata	past participle adjective & neuter	gone along; traveled	gacchati
gata	past participle adjective & neuter	(neuter) going; motion	gacchati
gatatta	adjective	whose self is gone (to the highest point)	
gataddhī	adjective	who has accomplished a journey; who has finished the journey	
gatāgata	neuter	going and coming; going and return	
gatapaccāgata	adjective & neuter	(adjective) going and returning; gone and come back	
gatapaccāgata	adjective & neuter	(neuter) (a robe) gone and returned	
gatapubba	adjective	(passive) previously gone to; previously visited	
gati	feminine	going; moving; gait; progress, movement; progress in knowledge/understanding	
gati	feminine	where one goes or has gone; path; way, course; method	
gati	feminine	where one goes/moves; one’s sphere	
gati	feminine	where one goes to; one’s destination; a refuge; a recourse	
gati	feminine	where one goes in life; destiny; career; outcome; issue	
gati	feminine	where one goes after death; a future course; a state of existence	
gatigata	adjective	gone the full course; gone through the proper process	
gatimanta	adjective	possessed of understanding	
gatta	neuter (& masculine)	(singular) the body; (plural) the limbs of the body	
gathita	past participle adjective	(adjective) tied; bound	ganthati
gathita	past participle adjective	(neuter) a bond; a fetter	ganthati
gathitacitta	adjective	with thoughts fettered; with thoughts fixed (on)	
gaddulabhaddha	adjective	tied with a leash, on a leash	
gaddūhana	neuter	the time required for milking a cow; short time	
gaddhabādhipubba	adjective	who was a previous vulture catcher (?); belonging to a family of vulture catchers (?)	gijjha
gadrabha	masculine	an ass, a donkey	
gadhita	past participle adjective & neuter	(adjective) tied or bound; greedy, greedily desiring	
gadhita	past participle adjective & neuter	(neuter) a bond; a fetter, or greediness?	
gadhitacitta	adjective	with mind or though fettered; with heart greedily desirous (for)	
gantabba	future passive participle adjective & neuter impersonal	(adjective) to be gone to; to be attained	
gantabba	future passive participle adjective & neuter impersonal	to be traveled; to be gone along	
gantabba	future passive participle adjective & neuter impersonal	(nominative impersonal) one must go	
gantar	masculine	one who goes (to); (one who) will go	
gantha	masculine; plural accusative ganthe, ganthāni	tying, binding; a tie	
gantha	masculine; plural accusative ganthe, ganthāni	a composition or treatise	
ganthati	present 3 singular	fastens, strings together; binds	
ganthita	past participle adjective	tied; bound	ganthati
ganthitāganthita	adjective	bound together and not bound	
ganthetvā	absolutive	having fastened, strung together; bound	ganthati
gandha	masculine & neuter	odor; smell; scent	
gandha	masculine & neuter	a fragrant substance; scent; perfume	
gandhagandha	masculine	perfume from fragrant plants (?); a totally fragrant plant (?)	
gandhagandhī	adjective	fragrant with scent	
gandhabba	masculine	one of a class of heavenly beings, noted specially as musicians	
gandhabba	masculine	an expression for that impulse or entity which takes (re-)conception	
gandhabbakāyika	adjective	belonging to the assembly of the gandhabbas	
gandhabbi	feminine	a female gandhabba	
gandhabbahatthaka	masculine	a wooden instrument for rubbing the body with powder while bathing	
gandhayātana	neuter	an object of sense that is odor	
gandhātu	feminine	the constituent element that is odor	
gandhāra	masculine/feminine	the name of a magic spell	
gandhālepa	masculine	a fragrant or perfumed ointment	
gandhūpahāra	masculine	the bringing of a foul smelling or fragrant substance	
gandhūhana	neuter	considering a fragrant substance	
gabbha	masculine	womb of humans and animals	
gabbha	masculine	the fetus	
gabbha	masculine	an inner room or an apartment; (in a vihara) a separate room or cell	
gabbhaṃ gaṇhāti	phrase	conceives, becomes pregnant	
gabbhakaraṇa	neuter	(the art of) causing or aiding conception	
gabbhapātana	neuter	causing a miscarriage; a means of causing a miscarriage, especially a concoction	
gabbhavokkanti	feminine	coming into being of the fetus in the womb; conception	
gabbhaseyyā	feminine	the womb	
gabbhī	adjective & feminine	(adjective) pregnant; filled; swelling; (feminine) a pregnant woman	
gamana	neuter	going; moving; (freedom of) movement; walking; going away; setting out; departure	
gamanīya	future passive participle adjective	to be gone to; to be reached; attainable	
gamika	adjective & masculine	(one) about to take a journey; (one) intending to leave; (one) on a journey, away from home	
gamikacitta	neuter	an intention to go on a journey; to leave	
gamikābhisankhāra	masculine	the impetus or determination to go; preparations for going	
gamina	adjective	about to take a journey; on a journey	
gameti	present 3 singular	causes to go (to); sends	gacchati
gambhīra	adjective &. neuter	(adjective) deep; unfathomable	
gambhīra	adjective &. neuter	deep in sound; deep toned	
gambhīra	adjective &. neuter	profound; hard to fathom; hard to penetrate or investigate	
gambhīra	adjective &. neuter	(neuter) deep; a bottomless place	
gambhīrāvabhāsa	adjective	appearing deep	
gambhīrapañña	adjective	(one) of profound wisdom; understanding abstruse matters	
gambhīrasīta	adjective	yielding a deep furrow	
gamma	adjective	belonging to a village (life), common, vulgar; especially relating to the sensual pleasures of the village	
gayhaka	adjective	a captive or having seized, captured	
gayhati	passive present 3 singular	is held, is taken; is understood; is mentioned, is meant	gaṇhāti
garahati	present 3 singular	reproaches; censures; dispraises; finds fault with (a person, action, or state)	
garahā	feminine	reproach; censure	
garahita	past participle adjective	censured; dispraised (by, instrumental or genitive)	garahati
garu	adjective & masculine	(adjective) heavy, weighty; burdensome, difficult	
garu	adjective & masculine	(adjective) highly prized; of great account; (to be) esteemed or venerated	
garu	adjective & masculine	(adjective) any venerated person (parents, elder, etc.); especially a religious (preceptor) a teacher	
garuka	adjective & neuter	(adjective) heavy; weighty; burdensome; difficult; hard	
garuka	adjective & neuter	(adjective) weighty, grave, severe; important, serious	
garuka	adjective & neuter	(adjective) (to be) prized, esteemed, venerated; of great account; valuable; held in common (by the saṅgha)	
garukaraṇa	adjective	inducing respect	
garukāra	masculine	(an act of) respect, veneration	
garukata	past participle adjective	honored, venerated, esteemed	garukaroti
garukaroti	present 3 singular	honors; venerates; esteems; treats as important	
garugaru	adjective	very heavy	
garuṭṭhānīya	adjective & masculine	(one) taking the place of; having the status of, a venerated or esteemed person	
garutara	adjective	heavier; more to be esteemed	
garudhamma	masculine	an important or serious offense; a breach of serious rule of observance	
garudhamma	masculine	an important or exacting rule of observances (perhaps an observance of respect?), one of the eight specific rules of behavior imposed on bhikkhunīs	
garubhaṇda	neuter	property or goods held in common by the sangha	
garubhārā	feminine	pregnant	
garuvacana	neuter	an expression of respect or esteem	
galaka	masculine	the throat; the neck	
galagaṇḍhī	adjective	having a swelling on the neck; having a goiter	
galaggāha	masculine	seizing by the throat	
galati	present 3 singular	drops; drips; oozes (with liquid or source as subject); falls down (to) or off; vanishes	
galappavedhaka	masculine or neuter	trembling of the neck or throat	
gaḷa	masculine	a fish hook	
gaḷagaḷāyati	present 3 singular	thunders; roars	
galeti	causative present 3 singular	causes to drop or drip	
gavāghātana	neuter	a slaughter-house; a place for butchering cows	
gavāssa	neuter	cattle and horses	
gavipphala	neuter	the fruit of the gavi plant	
gavesati	present 3 singular	looks for, seeks, searches for; inquires (for), examines	
gavesī	adjective	seeking, looking for, searching for	
gaha	masculine, neuter	a house, a home, a store house	
gaha	masculine	a seizer, one who seizes; seizing, laying hold of; one who holds	
gahaka	neuter	a house; a small house	gaha
gahakāraka	masculine	a house-builder, a mason, a carpenter	
gahakūṭa	neuter	the roof peak of a house	
gahaṭṭha	masculine	one who lives in a house; a house holder; a lay-person	
gahaṭṭhaka	adjective	belonging to or suitable for one who lives in a house	
gahavibhava	masculine	domestic property or wealth	
gahana	adjective & neuter	(adjective) deep; dense, thick; a dense of growth; entangled, overgrown, impenetrable	
gahana	adjective & neuter	(neuter) a place hard to pass through; a hiding place	
gahananissita	adjective	relying on or taking refuge in a hiding place	
gahaṇa	neuter	seizing, taking hold of; grasping; grasp: acquiring	
gahaṇī	feminine	a part of the body where heat assists digestion; its digestive heat	
gahapata	adjective	belonging to or connected with a gahapati	
gahapataggi	masculine	the householder’s fire	
gahapatānī	feminine	mistress of the house; wife of a gahapati	
gahapati	masculine	the master of a house, the head of the family, one whose business is trade or agriculture	
gahapati	masculine	place of storage or cooking	
gahapatika	masculine & adjective	(masculine) one who belongs to the gahapati class	gahapata
gahapatika	masculine & adjective	(adjective) belonging or connected to a gahapati;	gahapata
gahapatikula	neuter	a family or community of the gahapati class	
gahapaticīvara	neuter	a robe or robe-material given by a householder	
gahapatinecayika	neuter	a tradesman who is a skillful accumulator; a rich tradesman	
gahapatimahāsala	masculine	a very wealthy householder	
gahapatiratana	neuter	the householder’s treasure (one of the seven treasures of the cakkavatti(n) emperor)	
gahita	past participle adjective & neuter	(adjective) taken, seized, grasped in the mind, apprehended, learnt; mentioned, referred to, meant	gaṇhāti
gahita	past participle adjective & neuter	(neuter) grasping, holding	gaṇhāti
gahetvā	absolutive	taking; holding; seizing; with; mentioning; referring to	
gahetar	masculine	one who takes hold of; one who grasps; one who mentions	
gahetvā	absolutive	taking; holding; seizing; with; mentioning, referring to	gaṇhāti
gāthā	feminine	a verse; a stanza	
gāthā	feminine	the name of one of the nine categories (aṅgas) of the scriptures	
gāthābhigīta	adjective	(what has been) sung over; over which verses have been sung	
gāthāpada	masculinea	a quarter of a verse; a line or a half-line	
gādha	neuter	firm footing (in water); firm ground	
gādha	masculine or neuter	a hole; a refuge	
gādhati	present 3 singular	stands firm; has a firm footing	
gāma	masculine	an inhabited place; a village; the people of a village	
gāmanta	masculine	the neighborhood of a village; a village	
gāmantaka	neuter	the neighborhood of a village; a village	
gāmantara	neuter	another village, a different village, the next village	
gāmantarakappa	masculine	“different village practice”, the practice of eating a second time in a different village	
gāmaūpacāra	masculine	the environs; the outskirts of a village	
gāmaka	masculine	a small village; a village	
gāmakamma	neuter	village work; village affairs	
gāmakūṭa	masculine	a village magistrate; a village chief (with a connotation of dishonesty?)	
gāmakkhetta	neuter	village land or territory	
gāmagāmika	masculine	a village headman	
gāmaghāta	masculine & adjective	(masculine) sacking or plundering of a village	
gāmaghāta	masculine & adjective	(adjective) (one) who plunders a village; a marauder	
gāmaghātaka	m(fn.)	(one) who plunders a village; a marauder	
gāmaṇika	masculine	a village chief, headman; a leader, chief	
gāmaṇī	masculine & adjective	a village chief, headman; a leader, chief	
